INFO 2015-09-28 21:10:39,074 writers 25993 -1261003888 starting to write bonus for sale #5574
WARNING 2015-09-28 21:10:39,081 writers 25993 -1261003888 sale #5574 has no commission details
INFO 2015-09-28 21:10:39,088 writers 25993 -1261003888 starting to write bonus for sale #5575
WARNING 2015-09-28 21:10:39,095 writers 25993 -1261003888 sale #5575 has no commission details
INFO 2015-09-28 21:10:39,103 writers 25993 -1261003888 starting to write bonus for sale #5576
WARNING 2015-09-28 21:10:39,109 writers 25993 -1261003888 sale #5576 has no commission details
INFO 2015-09-28 21:10:39,117 writers 25993 -1261003888 starting to write bonus for sale #5577
WARNING 2015-09-28 21:10:39,123 writers 25993 -1261003888 sale #5577 has no commission details
INFO 2015-09-28 21:10:39,164 writers 25993 -1261003888 starting to write bonuses for דרישה לתשלום לפרוייקט זילברמינץ  - פעמוני החורש -צור יצחק בגיו חודש 6-2015
INFO 2015-09-28 21:10:39,385 writers 25993 -1261003888 starting to write bonus for sale #5434
WARNING 2015-09-28 21:10:39,392 writers 25993 -1261003888 sale #5434 has no commission details
INFO 2015-09-28 21:10:39,399 writers 25993 -1261003888 starting to write bonus for sale #5435
WARNING 2015-09-28 21:10:39,406 writers 25993 -1261003888 sale #5435 has no commission details
INFO 2015-09-28 21:10:39,414 writers 25993 -1261003888 starting to write bonus for sale #5436
WARNING 2015-09-28 21:10:39,420 writers 25993 -1261003888 sale #5436 has no commission details
INFO 2015-09-28 21:10:39,428 writers 25993 -1261003888 starting to write bonus for sale #5437
WARNING 2015-09-28 21:10:39,462 writers 25993 -1261003888 sale #5437 has no commission details
INFO 2015-09-28 21:10:39,470 writers 25993 -1261003888 starting to write bonus for sale #5438
WARNING 2015-09-28 21:10:39,477 writers 25993 -1261003888 sale #5438 has no commission details
INFO 2015-09-28 21:10:39,484 writers 25993 -1261003888 starting to write bonus for sale #5439
WARNING 2015-09-28 21:10:39,491 writers 25993 -1261003888 sale #5439 has no commission details
INFO 2015-09-28 21:10:40,691 writers 25993 -1261003888 starting zilberAddsFlows
